nazwa,marka,cena_aktualna,dlugosc_rekawa,fason_clean,trend_score,bawełna_pct,poliester_pct,elastan_pct,wiskoza_pct,wełna_pct,len_pct,jedwab_pct,nylon_pct,poliamid_pct,lyocell_pct,modal_pct,akryl_pct,kaszmir_pct,poliuretan_pct,natural_material_pct,synthetic_material_pct,premium_material_pct
t-shirt z nadrukiem,nike sportswear,199.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,karl lagerfeld,265.28,Krótki rękaw,koszulka regular fit,3.33,95,0,5,0,0,0,0,0,0,0,0,0,0,0,95,5,0
t-shirt z nadrukiem,iceberg,899.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,dc shoes,101.99,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bluzka z długim rękawem,adidas originals,197.0,Długi rękaw,koszulka regular fit,3.33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt basic,indicode jeans,89.99,Krótki rękaw,koszulka slim fit,32.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,lyle &,287.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,vilebrequin portisol,499.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bluzka z długim rękawem,edwin unisex,319.0,Długi rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,lyle &,143.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bluzka z długim rękawem,tommy jeans,209.0,Długi rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,liu jo,469.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,massimo dutti,249.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,calvin klein,199.0,Krótki rękaw,koszulka slim fit,32.2,0,88,12,0,0,0,0,0,0,0,0,0,0,0,0,100,0
koszulka polo,boggi milano,529.0,Krótki rękaw,koszulka regular fit,3.33,56,39,5,0,0,0,0,0,0,0,0,0,0,0,56,44,0
t-shirt z nadrukiem,thinking mu,256.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,pegador pike,161.0,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,next,292.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bluzka z długim rękawem,nike performance,289.0,Długi rękaw,koszulka regular fit,3.33,0,88,12,0,0,0,0,0,0,0,0,0,0,0,0,100,0
koszulka polo,umbro unisex,108.0,Krótki rękaw,koszulka regular fit,3.33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt basic,polo ralph lauren,419.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,boggi milano,529.0,Krótki rękaw,koszulka regular fit,3.33,0,0,6,0,0,94,0,0,0,0,0,0,0,0,94,6,94
t-shirt basic,urban classics,49.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,quiksilver,76.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,s.oliver,89.99,Krótki rękaw,koszulka regular fit,3.33,60,40,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0
t-shirt basic,u.s. polo assn.,191.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,jack & jones,71.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,lonsdale,70.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,adidas performance,329.0,Krótki rękaw,koszulka regular fit,3.33,0,83,17,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,kronstadt timmi,129.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
artykuły klubowe,puma,169.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,jack & jones,286.0,Półrękawek,koszulka loose fit,3.33,52,48,0,0,0,0,0,0,0,0,0,0,0,0,52,48,0
t-shirt z nadrukiem,karl kani,97.0,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
