nazwa,marka,cena_aktualna,dlugosc_rekawa,fason_clean,trend_score,bawełna_pct,poliester_pct,elastan_pct,wiskoza_pct,wełna_pct,len_pct,jedwab_pct,nylon_pct,poliamid_pct,lyocell_pct,modal_pct,akryl_pct,kaszmir_pct,poliuretan_pct,natural_material_pct,synthetic_material_pct,premium_material_pct
t-shirt z nadrukiem,pier one,100.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,lacoste,305.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,nike golf,111.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,hollister co.,79.0,Krótki rękaw,koszulka regular fit,3.33,54,46,0,0,0,0,0,0,0,0,0,0,0,0,54,46,0
t-shirt z nadrukiem,mister tee,67.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka sportowa,under armour,145.0,Krótki rękaw,koszulka regular fit,3.33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,lost youth,103.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,clean cut,118.0,Krótki rękaw,koszulka loose fit,3.33,95,0,5,0,0,0,0,0,0,0,0,0,0,0,95,5,0
t-shirt z nadrukiem,lonsdale,159.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bluzka z długim rękawem,carhartt wip,289.0,Długi rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
top,mango,159.99,Bez rękawów,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,s.oliver,357.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,s.oliver,89.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,s.oliver,263.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,jack & jones,219.99,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bluzka z długim rękawem,wasted paris,242.0,Długi rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bluzka z długim rękawem,yourturn unisex,47.0,Długi rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,boggi milano,419.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,pepe jeans,139.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,tom tailor,99.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,upscale by,58.0,Krótki rękaw,koszulka oversize,22.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,dc shoes,149.99,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,adidas originals,72.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,rockshirts,99.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,blend,72.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,santa cruz,87.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,tommy hilfiger,449.0,Krótki rękaw,koszulka regular fit,3.33,65,35,0,0,0,0,0,0,0,0,0,0,0,0,65,35,0
t-shirt basic,billabong,149.99,Krótki rękaw,koszulka regular fit,3.33,0,85,15,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,jp1880,139.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,ea7 emporio armani,375.0,Krótki rękaw,koszulka regular fit,3.33,0,48,0,0,0,0,0,0,0,52,0,0,0,0,0,48,0
t-shirt z nadrukiem,pepe jeans,159.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,michael kors,309.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,selected,161.0,Krótki rękaw,koszulka regular fit,3.33,95,0,5,0,0,0,0,0,0,0,0,0,0,0,95,5,0
t-shirt z nadrukiem,henry tiger,99.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,adidas golf,369.0,Krótki rękaw,koszulka regular fit,3.33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,henry tiger,99.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,quiksilver,76.99,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,bogner,900.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,tommy jeans,90.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,next,104.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,champion,134.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,boss,584.0,Krótki rękaw,koszulka regular fit,3.33,0,0,0,0,0,0,17,0,23,0,60,0,0,0,17,23,17
koszulka polo,redefined rebel,125.0,Długi rękaw,koszulka regular fit,3.33,60,40,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0
t-shirt z nadrukiem,polo ralph lauren,339.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,mister tee,61.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,upscale by,52.0,Krótki rękaw,koszulka oversize,22.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,wood wood,405.0,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,boss,207.0,Krótki rękaw,koszulka regular fit,3.33,92,0,8,0,0,0,0,0,0,0,0,0,0,0,92,8,0
t-shirt z nadrukiem,mister tee,64.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,bogner,600.0,Krótki rękaw,koszulka regular fit,3.33,51,45,4,0,0,0,0,0,0,0,0,0,0,0,51,49,0
t-shirt z nadrukiem,henry tiger,109.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,pier one,40.0,Krótki rękaw,koszulka slim fit,32.2,0,88,12,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,adidas performance,159.0,Półrękawek,koszulka oversize,22.7,35,65,0,0,0,0,0,0,0,0,0,0,0,0,35,65,0
koszulka sportowa,puma,174.0,Krótki rękaw,koszulka regular fit,3.33,0,94,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,forsberg,119.99,Krótki rękaw,koszulka regular fit,3.33,60,40,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0
koszulka polo,red bull,260.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,blend,109.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,mister tee,58.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bluzka z długim rękawem,adidas originals,180.0,Bardzo długi rękaw,koszulka loose fit,3.33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt basic,seidensticker,229.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,carlo colucci,449.0,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,allsaints tierra,278.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka sportowa,mammut,229.0,Krótki rękaw,koszulka slim fit,32.2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,henry tiger,99.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,napapijri,90.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,karma8a,279.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,s.oliver,263.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,mcs texas,74.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,pull&bear join,45.9,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,nike performance,679.0,Krótki rękaw,koszulka regular fit,3.33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,carhartt wip,175.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,joop!,629.0,Krótki rękaw,koszulka regular fit,3.33,53,0,0,47,0,0,0,0,0,0,0,0,0,0,53,0,0
koszulka polo,fynch,249.95,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,henry tiger,169.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,street one,189.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,nike performance,82.99,Krótki rękaw,koszulka slim fit,32.2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,merchcode italy,76.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,jack & jones,80.95,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,only & sons,79.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
bluzka z długim rękawem,aries,609.0,Długi rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,boggi milano,419.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,s.oliver,126.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,farah,360.0,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,pull&bear,69.9,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,merchcode,106.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,drykorn kendrick,233.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka sportowa,under armour,116.0,Krótki rękaw,koszulka regular fit,3.33,60,40,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0
t-shirt basic,harper &,122.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka sportowa,quiksilver,129.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,s.oliver,69.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,wrstbhvr studio,238.0,Półrękawek,koszulka oversize,22.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,boss,287.0,Krótki rękaw,koszulka loose fit,3.33,95,0,5,0,0,0,0,0,0,0,0,0,0,0,95,5,0
koszulka polo,adidas originals,175.0,Krótki rękaw,koszulka loose fit,3.33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,qs,79.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,lindbergh,139.96,Półrękawek,koszulka oversize,22.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,polo ralph lauren,549.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,tommy hilfiger,409.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,s.oliver,357.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,puma,281.95,Krótki rękaw,koszulka regular fit,3.33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
koszulka polo,jack & jones,286.0,Krótki rękaw,koszulka regular fit,3.33,85,15,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0
t-shirt z nadrukiem,jp1880,179.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,hugo,160.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,pepe jeans,159.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,street one,169.0,Krótki rękaw,koszulka regular fit,3.33,50,48,2,0,0,0,0,0,0,0,0,0,0,0,50,50,0
t-shirt basic,jack & jones,97.45,Krótki rękaw,koszulka regular fit,3.33,60,0,0,20,0,0,0,20,0,0,0,0,0,0,60,20,0
t-shirt z nadrukiem,jack & jones,76.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,henry tiger,179.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,tommy jeans,170.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,casual friday,129.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,adolfo dominguez,439.0,Krótki rękaw,koszulka loose fit,3.33,0,0,0,42,0,58,0,0,0,0,0,0,0,0,58,0,58
koszulka polo,jp1880,199.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,red bull,223.2,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,michael kors,309.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,yourturn unisex,32.0,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,msgm,799.0,Bardzo długi rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,timberland unisex,98.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,selected,164.99,Krótki rękaw,koszulka regular fit,3.33,78,15,0,7,0,0,0,0,0,0,0,0,0,0,78,15,0
t-shirt z nadrukiem,s.oliver,364.95,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,casual friday,109.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,qs,79.99,Półrękawek,koszulka loose fit,3.33,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0
koszulka polo,boss,629.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,superdry &,109.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,arket,250.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,volcom,149.0,Krótki rękaw,koszulka regular fit,3.33,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0
t-shirt z nadrukiem,tom tailor,90.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka sportowa,adidas terrex,199.0,Krótki rękaw,koszulka loose fit,3.33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
t-shirt z nadrukiem,umbro unisex,179.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,mustang,99.95,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,jack & jones,99.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,mister tee,64.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,seidensticker regular,199.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,smartwool lunar,329.0,Krótki rękaw,koszulka regular fit,3.33,0,44,0,0,56,0,0,0,0,0,0,0,0,0,56,44,56
t-shirt z nadrukiem,the new,319.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,dstrezzed,196.0,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,henry tiger,109.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,seidensticker,229.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,o'neill,118.15,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,mos mosh,300.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,henry tiger,179.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,students,215.0,Krótki rękaw,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,superdry &,169.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
koszulka polo,quiksilver,149.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,jack & jones,257.0,Krótki rękaw,koszulka regular fit,3.33,92,0,8,0,0,0,0,0,0,0,0,0,0,0,92,8,0
koszulka polo,casual friday,164.0,Krótki rękaw,koszulka regular fit,3.33,40,40,0,20,0,0,0,0,0,0,0,0,0,0,40,40,0
t-shirt z nadrukiem,s.oliver,69.99,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt z nadrukiem,dropsize,73.0,Półrękawek,koszulka loose fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
t-shirt basic,joules regular,134.0,Krótki rękaw,koszulka regular fit,3.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
