kategoria_produktu,nazwa,marka,cena_aktualna,cena_regularna,material,fason,ksztalt,rodzaj_dekoltu,dlugosc_rekawa,fason_clean,trend_score
koszulki z krótkim rękawem (męskie),- t-shirt basic,next,292.0,169.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),stride - bluzka z długim rękawem,nike performance stride,289.0,249.0,"88% poliester, 12% elastan",regular,Prosty,,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - koszulka polo,umbro unisex,108.0,309.0,100% poliester,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,polo ralph lauren,419.0,419.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,boggi milano,529.0,140.99,"94% len, 6% elastan",regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),do not use - t-shirt basic,urban classics do not use,49.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,quiksilver,76.99,109.99,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),t-shirt z nadrukiem,s.oliver t,89.99,99.0,"60% bawełna, 40% poliester",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),3 pack - t-shirt basic,u.s. polo assn. 3 pack,191.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),jormontauk - t-shirt z nadrukiem,jack & jones jormontauk,71.0,,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),st. erney - t-shirt z nadrukiem,lonsdale st. erney,70.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,adidas performance,329.0,179.99,"83% poliester, 17% elastan",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),timmi - t-shirt z nadrukiem,kronstadt timmi,129.99,184.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- artykuły klubowe,puma,169.0,129.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,jack & jones,286.0,79.0,"52% bawełna, 48% poliester",loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,karl kani,97.0,139.0,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,pier one,100.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,lacoste,305.0,339.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,nike golf,111.0,159.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,hollister co.,79.0,129.0,"54% bawełna, 46% poliester",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),feel the heat round neck - t-shirt z nadrukiem,mister tee feel the heat round neck,67.0,79.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka sportowa,under armour,145.0,139.0,100% poliester,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,lost youth,103.0,159.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),copenhagen - t-shirt z nadrukiem,clean cut copenhagen copenhagen,118.0,159.0,"95% bawełna, 5% elastan",loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),blairmore - t-shirt z nadrukiem,lonsdale blairmore,159.0,99.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),emerge - bluzka z długim rękawem,carhartt wip emerge,289.0,239.0,100% bawełna,regular,Prosty,Okrągły,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- top,mango,159.99,319.0,100% bawełna,regular,Prosty,"Okrągły, głęboko wycięty",Bez rękawów,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,s.oliver,357.0,119.99,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,s.oliver,89.99,109.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,s.oliver,263.0,329.0,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),jprblamason - koszulka polo,jack & jones premium jprblamason,219.99,179.0,100% bawełna,loose fit,Prosty,Typu Henley,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),unisex - bluzka z długim rękawem,wasted paris unisex,242.0,269.0,100% bawełna,loose fit,Prosty,Okrągły,Długi rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),unisex - bluzka z długim rękawem,yourturn unisex,47.0,94.0,100% bawełna,regular,Prosty,Okrągły,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,boggi milano,419.0,164.99,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),jacko - t-shirt basic,pepe jeans jacko,139.0,159.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,tom tailor denim,99.0,319.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),t-shirt z nadrukiem,upscale by mister tee t,58.0,,100% bawełna,nadwymiarowy,Prosty,Okrągły,Krótki rękaw,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,dc shoes,149.99,179.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,adidas originals,72.0,179.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,rockshirts,99.0,879.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),ashton - t-shirt basic,blend ashton,72.0,,100% bawełna,regular,Prosty,Typu Henley,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt z nadrukiem,santa cruz unisex,87.0,159.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,tommy hilfiger,449.0,409.0,"65% bawełna, 35% poliester",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,billabong,149.99,79.0,"85% poliester, 15% elastan",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,jp1880,139.99,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,ea7 emporio armani,375.0,469.0,"52% lyocell, 48% poliester",regular fit,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,pepe jeans,159.0,139.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,michael kors,309.0,399.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),slhroland - t-shirt basic,selected slhroland,161.0,179.0,"95% bawełna, 5% elastan",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,henry tiger,99.99,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),beyond - koszulka polo,adidas golf beyond,369.0,169.0,100% poliester,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),healthy body - t-shirt z nadrukiem,henry tiger healthy body,99.99,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,quiksilver,76.99,109.99,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,bogner,900.0,379.99,100% bawełna,loose fit,Prosty,,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,tommy jeans,90.0,199.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,next,104.0,182.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,champion,134.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),ps spirit70 - t-shirt basic,boss ps spirit70,584.0,899.0,"60% modal, 23% poliamid, 17% jedwab",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,redefined rebel,125.0,,"60% bawełna, 40% poliester",regular,Prosty,,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,polo ralph lauren,339.0,639.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,mister tee,61.0,79.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex days before summer - t-shirt z nadrukiem,upscale by mister tee unisex days before summer,52.0,,100% bawełna,nadwymiarowy,Prosty,Okrągły,Krótki rękaw,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,wood wood,405.0,,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),taul - t-shirt basic,boss taul,207.0,319.0,"92% bawełna, 8% elastan",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),basketball clouds - t-shirt z nadrukiem,mister tee basketball clouds,64.0,89.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,bogner,600.0,519.0,"51% bawełna, 45% poliester, 4% elastan",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,henry tiger,109.99,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,pier one sport,40.0,,"88% poliester, 12% elastan",slim,Prosty,Okrągły,Krótki rękaw,koszulka slim fit,32.2
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,adidas performance,159.0,159.0,"65% poliester, 35% bawełna",nadwymiarowy,Prosty,Okrągły,Półrękawek,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),- koszulka sportowa,puma,174.0,229.0,"94% poliester, 6% elastan",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,forsberg,119.99,109.99,"60% bawełna, 40% poliester",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,red bull racing x pepe jeans,260.0,325.0,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),bhevo - koszulka polo,blend bhevo,109.0,179.0,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),los angeles - t-shirt z nadrukiem,mister tee los angeles,58.0,79.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- bluzka z długim rękawem,adidas originals,180.0,359.0,100% poliester,loose fit,Prosty,Wycięcie typu V,Bardzo długi rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,seidensticker,229.0,399.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,carlo colucci,449.0,199.0,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),tierra - t-shirt z nadrukiem,allsaints tierra,278.0,309.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka sportowa,mammut,229.0,229.0,100% poliester,slim,Prosty,Okrągły,Krótki rękaw,koszulka slim fit,32.2
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,henry tiger,99.99,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,napapijri,90.0,139.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,karma8a,279.0,139.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,s.oliver,263.0,,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),texas city - t-shirt basic,mcs texas city,74.99,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),join life - t-shirt basic,pull&bear join life,45.9,79.0,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),france 2026/27 home - t-shirt z nadrukiem,nike performance france 2026/27 home,679.0,449.0,100% poliester,regular,Dopasowany,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,carhartt wip,175.0,269.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,joop!,629.0,187.99,"53% bawełna, 47% wiskoza",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,fynch,249.95,239.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),mean girls - t-shirt z nadrukiem,henry tiger mean girls,169.99,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,street one men,189.0,269.99,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),t-shirt basic,nike performance t,82.99,79.0,100% poliester,slim,Prosty,Okrągły,Krótki rękaw,koszulka slim fit,32.2
koszulki z krótkim rękawem (męskie),italy - t-shirt z nadrukiem,merchcode italy,76.0,119.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,jack & jones,80.95,,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),onsmass - t-shirt z nadrukiem,only & sons onsmass,79.0,179.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- bluzka z długim rękawem,aries,609.0,,100% bawełna,loose fit,Prosty,Okrągły,Długi rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,boggi milano,419.0,399.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,s.oliver,126.99,199.99,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,farah,360.0,149.99,100% bawełna,loose fit,Prosty,,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,pull&bear,69.9,129.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,merchcode,106.0,119.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),kendrick - t-shirt basic,drykorn kendrick,233.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),foundation - koszulka sportowa,under armour foundation,116.0,129.0,"60% bawełna, 40% poliester",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,harper & neyer,122.0,159.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),wild worlds - koszulka sportowa,quiksilver wild worlds,129.99,179.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,s.oliver,69.99,129.99,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),studio - t-shirt z nadrukiem,wrstbhvr studio,238.0,340.0,100% bawełna,nadwymiarowy,Prosty,Okrągły,Półrękawek,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),- t-shirt basic,boss,287.0,319.0,"95% bawełna, 5% elastan",loose fit,Prosty,,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),unisex - koszulka polo,adidas originals unisex,175.0,319.0,100% poliester,loose fit,Prosty,,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,qs,79.99,129.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,lindbergh,139.96,199.95,100% bawełna,nadwymiarowy,Prosty,Okrągły,Półrękawek,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),- koszulka polo,polo ralph lauren big & tall,549.0,719.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,tommy hilfiger,409.0,249.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,s.oliver,357.0,199.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- krótkie spodenki sportowe,puma,281.95,,100% poliester,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,jack & jones,286.0,149.0,"85% bawełna, 15% poliester",regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,jp1880,179.99,319.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,hugo,160.0,229.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),gio - t-shirt z nadrukiem,pepe jeans gio,159.0,139.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,street one men,169.0,129.99,"50% bawełna, 48% poliester, 2% elastan",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,jack & jones,97.45,129.99,"60% bawełna, 20% wiskoza, 20% nylon",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),jorharvard - t-shirt z nadrukiem,jack & jones jorharvard,76.0,109.0,100% bawełna,regular fit,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,henry tiger,179.99,129.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,tommy jeans,170.0,189.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,casual friday,129.0,109.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,adolfo dominguez,439.0,219.0,"58% len, 42% wiskoza",loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,jp1880,199.99,219.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,red bull racing x pepe jeans,223.2,279.0,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),t-shirt basic,michael kors t,309.0,259.0,100% bawełna,prosty,,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt z nadrukiem,yourturn unisex,32.0,79.0,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,msgm,799.0,749.0,100% bawełna,loose fit,Prosty,Okrągły,Bardzo długi rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt z nadrukiem,timberland unisex,98.0,109.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,selected,164.99,84.0,"78% bawełna, 15% poliester, 7% wiskoza",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,s.oliver,364.95,269.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,casual friday,109.0,346.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,qs,79.99,179.0,"50% poliester, 50% bawełna",loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,boss,629.0,84.0,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
