iter	Passed	Remaining
0	2	2674
1	5	2570
2	7	2525
3	10	2535
4	12	2404
5	14	2399
6	17	2427
7	19	2457
8	22	2469
9	24	2458
10	27	2457
11	30	2484
12	32	2469
13	35	2472
14	37	2469
15	40	2474
16	42	2477
17	45	2473
18	47	2467
19	50	2482
20	53	2478
21	55	2476
22	58	2470
23	60	2463
24	63	2457
25	65	2461
26	68	2456
27	70	2448
28	72	2441
29	75	2439
30	77	2432
31	80	2431
32	82	2430
33	85	2428
34	87	2424
35	90	2417
36	92	2411
37	95	2410
38	97	2410
39	100	2404
40	102	2403
41	105	2403
42	107	2397
43	110	2393
44	112	2395
45	115	2394
46	118	2398
47	120	2399
48	123	2395
49	125	2393
50	128	2397
51	131	2398
52	134	2398
53	137	2400
54	139	2399
55	142	2396
56	145	2401
57	147	2401
58	151	2409
59	153	2405
60	155	2400
61	158	2396
62	160	2393
63	163	2389
64	165	2385
65	168	2382
66	171	2382
67	173	2383
68	176	2385
69	180	2395
70	183	2406
71	186	2406
72	189	2409
73	193	2417
74	196	2421
75	199	2426
76	202	2432
77	206	2439
78	209	2441
79	212	2446
80	215	2448
81	219	2455
82	232	2571
83	235	2570
84	238	2569
85	241	2569
86	245	2572
87	248	2571
88	251	2570
89	254	2569
90	257	2573
91	261	2576
92	264	2576
93	267	2576
94	270	2577
95	274	2581
96	277	2584
97	280	2582
98	283	2582
99	286	2581
100	290	2586
101	293	2588
102	296	2584
103	299	2582
104	302	2581
105	306	2585
106	309	2585
107	313	2589
108	316	2587
109	319	2586
110	322	2585
111	325	2583
112	328	2582
113	331	2578
114	334	2576
115	338	2577
116	341	2575
117	344	2572
118	347	2570
119	349	2566
120	352	2563
121	356	2562
122	359	2560
123	361	2556
124	364	2553
125	368	2553
126	371	2552
127	373	2543
128	376	2540
129	379	2536
130	382	2536
131	385	2534
132	388	2534
133	391	2532
134	394	2529
135	397	2525
136	399	2514
137	402	2513
138	405	2510
139	408	2506
140	411	2506
141	414	2505
142	417	2503
143	420	2501
144	423	2497
145	426	2494
146	429	2493
147	433	2493
148	436	2490
149	439	2488
150	442	2485
151	444	2482
152	447	2478
153	450	2476
154	453	2472
155	456	2471
156	460	2470
157	463	2468
158	466	2466
159	469	2465
160	472	2463
161	475	2460
