iter	RMSE
0	0.6438669109
1	0.6355343241
2	0.6277694161
3	0.621209408
4	0.6153862251
5	0.6091002227
6	0.6038380215
7	0.5976151566
8	0.593829931
9	0.5894825469
10	0.5862632789
11	0.5820043999
12	0.5782205228
13	0.5738431768
14	0.570942469
15	0.5670157973
16	0.5632894964
17	0.560325304
18	0.5574968206
19	0.5538092502
20	0.5516306762
21	0.5490594339
22	0.5466109087
23	0.5446197201
24	0.5419378777
25	0.5400137177
26	0.5377813031
27	0.5356186068
28	0.5335580528
29	0.5320137872
30	0.530902796
31	0.5289833739
32	0.5269056064
33	0.5249825901
34	0.5234625424
35	0.521388956
36	0.5194865276
37	0.5180640747
38	0.5166813256
39	0.515441493
40	0.5143467577
41	0.5129331113
42	0.5119473149
43	0.5106535264
44	0.5092684863
45	0.5079136193
46	0.5068310225
47	0.5057645476
48	0.5051826726
49	0.5041903593
50	0.5034519939
51	0.5024572526
52	0.5017959904
53	0.5007778418
54	0.4997222361
55	0.4986329837
56	0.4979289
57	0.4973588555
58	0.4965911644
59	0.4955759404
60	0.4950133507
61	0.4938616463
62	0.4933426892
63	0.4927599426
64	0.4918934396
65	0.4910566723
66	0.4906648485
67	0.4901398936
68	0.4896732166
69	0.489188387
70	0.4887040965
71	0.4882406614
72	0.4871069066
73	0.4865129628
74	0.4858828566
75	0.4854723509
76	0.4847549501
77	0.4841090892
78	0.4836622848
79	0.4831051971
80	0.482882489
81	0.4823490998
82	0.4816619611
83	0.4811379859
84	0.4804892352
85	0.4799254062
86	0.4793114068
87	0.4787799616
88	0.4782779796
89	0.4779735172
90	0.4775050727
91	0.4769555797
92	0.4765353757
93	0.4756797012
94	0.4754270773
95	0.4747384895
96	0.4742595927
97	0.4738473406
98	0.4733222191
99	0.4729189502
100	0.4723278589
101	0.4717269657
102	0.4715010147
103	0.4709408201
104	0.4703458187
105	0.4700525347
106	0.4697105776
107	0.4694070947
108	0.468954786
109	0.4686140114
110	0.4682175465
111	0.4680473374
112	0.467532977
113	0.4671714584
114	0.4667026466
115	0.4661972767
116	0.4657385724
117	0.465557055
118	0.4651576505
119	0.4646999385
120	0.4640391307
121	0.463518983
122	0.4630809985
123	0.4628404177
124	0.4624367219
125	0.4621022289
126	0.4617702782
127	0.461552896
128	0.461137254
129	0.4608662895
130	0.4603259183
131	0.4599461269
132	0.4596639842
133	0.4593924584
134	0.4588940637
135	0.4586064767
136	0.4583324751
137	0.4580343907
138	0.4575369059
139	0.4573524364
140	0.4571176559
141	0.4568908042
142	0.4565595718
143	0.4564028381
144	0.4559347342
145	0.4554509986
146	0.4550163111
147	0.4546394399
148	0.4544248751
149	0.4540045986
150	0.4536534135
151	0.4533469804
152	0.4530111493
153	0.4526869965
154	0.4524024716
155	0.4519240097
156	0.4516724474
157	0.4514593902
158	0.4508952151
159	0.4503610396
160	0.4498620749
161	0.449521588
162	0.4492067302
163	0.4486786755
164	0.4482170186
165	0.4479806289
166	0.4476705358
167	0.4472542129
168	0.4467108432
169	0.4462197022
170	0.4454659917
171	0.444976647
172	0.4444934529
173	0.4440592525
174	0.4436539515
175	0.4433635564
176	0.4428844806
177	0.4424715551
178	0.4420548037
179	0.4415578217
180	0.4411297102
181	0.4407157128
182	0.440295707
183	0.4398981727
184	0.4394309868
185	0.4390449951
186	0.4386533975
187	0.4382473713
188	0.4376758262
189	0.4373144978
190	0.4370913408
191	0.4367099933
192	0.4363390114
193	0.4359568954
194	0.4356147488
195	0.4351617987
196	0.434701356
197	0.4341606259
198	0.4337742365
199	0.4334298823
200	0.4331779955
201	0.4328994629
202	0.4324450706
203	0.4319921274
204	0.4316411877
205	0.4311990009
206	0.4308272773
207	0.4305659272
208	0.4303204736
209	0.4299081466
210	0.4296355371
211	0.4294028102
212	0.4291408509
213	0.4286289975
214	0.4281762768
215	0.4278243901
216	0.4276224741
217	0.427421132
218	0.4269430259
219	0.4265184299
220	0.4261672851
221	0.4259888989
222	0.425701651
223	0.4255657311
224	0.4250736734
225	0.4246686667
226	0.4245324966
227	0.4243928264
228	0.4239422414
229	0.423534855
230	0.4231994167
231	0.4228157013
232	0.4223819594
233	0.4221163143
234	0.4215608447
235	0.4213416543
236	0.4210441683
237	0.4206884153
238	0.4203060733
239	0.4201723872
240	0.4199867385
241	0.4195579754
242	0.4192945034
243	0.4191635873
244	0.4188270934
245	0.4185292011
246	0.4183991995
247	0.4180828109
248	0.4178106128
249	0.4173845224
250	0.4171633836
251	0.4167734692
252	0.4164163118
253	0.4161234761
254	0.4157936553
255	0.4153942248
256	0.4152659036
257	0.4150421188
